,description,number_rates,rating,price,url
47,"<span class=""a-size-base-plus a-color-base a-text-normal"">Yum-Vs - Kids Multivitamin Chewable Chocolate Bears - Multivitamin for Kids Supplement - 16 Vitamins &amp; Minerals - Kids Vitamins Including D, Zinc, C, B Complex &amp; More, Multi Vitamins for Kids 60 Count</span>",(842),4.4,14.99,https://www.amazon.com/MultiVitamins-Chewables-Chocolate-Supplement-Essential/dp/B008GTJXSC/ref=sr_1_48?keywords=multivitamin+for+kids&qid=1675456051&sr=8-48
48,"<span class=""a-size-base-plus a-color-base a-text-normal"">Flintstones Vitamins Chewable Kids Vitamins with Iron, Upgraded Formula Multivitamin for Kids &amp; Toddlers, 160 Count</span>","(14,158)",4.7,20.55,https://www.amazon.com/Flintstones-Vitamins-Chewable-Upgraded-Multivitamin/dp/B08NGF3M6M/ref=sr_1_49?keywords=multivitamin+for+kids&qid=1675456051&rdc=1&sr=8-49
49,"<span class=""a-size-base-plus a-color-base a-text-normal"">Kids Multivitamin Gummies 14 Essential Vitamins Daily Supplement for Ages 2+ Vitamin A, C, D, E Vegetarian B6 &amp; B12, Zinc, Biotin Gummy Multivitamins for Children - All Natural Chewables (120 Count)</span>",(744),4.7,21.99,https://www.amazon.com/Multivitamin-Essential-Supplement-Vegetarian-Multivitamins/dp/B08HQNYGL2/ref=sr_1_50?keywords=multivitamin+for+kids&qid=1675456051&sr=8-50
50,"<span class=""a-size-base-plus a-color-base a-text-normal"">Centrum Kids' Organic Multigummies, Kids Multivitamin Gummies, Organic Multivitamin for Kids with Essential Nutrients for Immune Support, Muscle Function, and Brain Health - 90 Count</span>","(1,213)",4.7,15.99,https://www.amazon.com/Centrum-Multigummies-Multivitamin-Essential-Nutrients/dp/B093TGWZHC/ref=sr_1_51?keywords=multivitamin+for+kids&qid=1675456051&sr=8-51
51,"<span class=""a-size-base-plus a-color-base a-text-normal"">SmartyPants Toddler Formula Daily Gummy Multivitamin: Vitamin C, D3, &amp; Zinc for Immunity, Gluten Free, Omega 3 Fish Oil (DHA/EPA) , Vitamin B6, B12, 90 Count (30 Day Supply)</span>","(14,547)",4.4,16.49,https://www.amazon.com/SmartyPants-Toddler-Gummy-Vitamins-Complete/dp/B07B6KC1PQ/ref=sr_1_52?keywords=multivitamin+for+kids&qid=1675456051&sr=8-52
52,"<span class=""a-size-base-plus a-color-base a-text-normal"">SHIFAA NUTRITION Halal Gummy Vitamins for Kids | 45-90 Days Supply | Has All Essential Kids Vitamins C, D, Zinc, A, E, B6, B12, Biotin | Non-GMO &amp; Vegetarian | Free of Gluten, Gelatin, Peanut &amp; Dairy</span>","(1,097)",4.7,16.97,https://www.amazon.com/SHIFAA-NUTRITION-Vegetarian-Vitamins-Preservatives/dp/B07JFP3L1H/ref=sr_1_53?keywords=multivitamin+for+kids&qid=1675456051&sr=8-53
53,"<span class=""a-size-base-plus a-color-base a-text-normal"">Nature Made Kids First Multivitamin with Omega-3, Kids Vitamins and Minerals for Nutritional Support, 70 Kids Multivitamin Gummies</span>","(3,377)",4.7,8.99,https://www.amazon.com/Nature-Made-Multivitamin-Omega-3-Gummies/dp/B010OUZ9QU/ref=sr_1_54?keywords=multivitamin+for+kids&qid=1675456051&sr=8-54
54,"<span class=""a-size-base-plus a-color-base a-text-normal"">NATURELO Whole Food Vitamin Gummies for Kids - Chewable Gummy Multivitamin for Children - Non-GMO - with Vitamins &amp; Minerals - 90 Vegan Gummies</span>","(1,444)",4.2,29.95,https://www.amazon.com/NATURELO-Whole-Food-Vitamin-Gummies/dp/B078P35YC2/ref=sr_1_55?keywords=multivitamin+for+kids&qid=1675456051&sr=8-55
55,"<span class=""a-size-base-plus a-color-base a-text-normal"">MaryRuth Organics Multivitamin for Kids | Sugar Free Kids Multivitamin | Liquid Vitamins for Kids | Immune Support Supplement | Cognitive Health &amp; Overall Wellness | Vegan | Non-GMO | 15.22 Fl Oz</span>","(2,506)",4.1,32.95,https://www.amazon.com/Multivitamin-Absorption-Liposomal-Cognitive-Formulated/dp/B09FRF67Y2/ref=sr_1_56?keywords=multivitamin+for+kids&qid=1675456051&sr=8-56
56,"<span class=""a-size-base-plus a-color-base a-text-normal"">Noor Vitamins Halal Vitamins, Kids Vitamins, Kids Multivitamin Gummies: Vitamin C for Kids, D3, and Zinc for Immunity, B6 &amp; B12 for Energy. Non-GMO, Allergen &amp; Gluten Free Halal Gummies - 90 Count Gummy Vitamins for Kids</span>","(1,318)",4.7,20.49,https://www.amazon.com/Noor-Vitamins-Formula-Daily-Multivitamin/dp/B00KI0BT02/ref=sr_1_57?keywords=multivitamin+for+kids&qid=1675456051&sr=8-57
57,"<span class=""a-size-base-plus a-color-base a-text-normal"">Culturelle Kids Complete Chewable Multivitamin + Probiotic For Kids, Ages 3+, 50 Count, Digestive Health, Oral Health &amp; Immune Support - With 11 Vitamins &amp; Minerals, including Vitamin C, D3 &amp; Zinc</span>","(4,221)",4.7,23.53,https://www.amazon.com/Culturelle-Multivitamin-Probiotic-Supplement-probiotic%E2%8C%98/dp/B07N7ZM39Z/ref=sr_1_58?keywords=multivitamin+for+kids&qid=1675456051&sr=8-58
58,"<span class=""a-size-base-plus a-color-base a-text-normal"">Zahler Junior Multi, Chewable Multivitamin for Kids, Kosher, 90 Chewable Tablets</span>",(874),4.6,14.92,https://www.amazon.com/Zahler-Multivitamin-Supplement-Children-Chewable/dp/B00BWSKNYC/ref=sr_1_59?keywords=multivitamin+for+kids&qid=1675456051&sr=8-59
59,"<span class=""a-size-base-plus a-color-base a-text-normal"">MegaFood Kids One Daily Multivitamin Soft Chews - Supports Child Development and Growth - Gluten-Free - Vegetarian - Grape - 30 Chews (Pack of 1)</span>",(417),4.6,18.99,https://www.amazon.com/MegaFood-Multivitamin-Supplement-Development-Gluten-Free/dp/B07S43J9K3/ref=sr_1_60?keywords=multivitamin+for+kids&qid=1675456051&sr=8-60
60,"<span class=""a-size-base-plus a-color-base a-text-normal"">Centrum Kids Multivitamin Gummies, Tropical Punch Flavor Made with Natural Flavors, 150 Count, 150 Day Supply (Pack of 1)</span>","1,240",4.7,14.28,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A004100630XRPN7K9IQO1&qualifier=1675456070&id=373664317268160&widgetName=sp_atf_next&url=%2FCentrum-Multivitamin-Gummies-Tropical-Natural%2Fdp%2FB0B6WQ7NK8%2Fref%3Dice_ac_b_dpb_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456070%26sr%3D8-49-spons%26psc%3D1
61,"<span class=""a-size-base-plus a-color-base a-text-normal"">Nature’s Bounty Marvel® Avengers Kids Gummy Multivitamin, Natural Grape, Orange &amp; Cherry Flavored, Supports Immune Health &amp; More, 60 Gummies</span>",37,4.7,5.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03340933S9WHLVIJHIKN&qualifier=1675456070&id=373664317268160&widgetName=sp_atf_next&url=%2FNatures-Bounty-Avengers-Multivitamin-Flavored%2Fdp%2FB09SKGKTGM%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456070%26sr%3D8-50-spons%26psc%3D1
62,"<span class=""a-size-base-plus a-color-base a-text-normal"">NaturesPlus Animal Parade Children's Chewable Multivitamin - 180 Animal-Shaped Tablets - Natural Assorted Flavors - Vegetarian, Gluten Free - 90 Servings</span>","1,996",4.6,25.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00366322HE4VFF4PULTL&qualifier=1675456070&id=373664317268160&widgetName=sp_atf_next&url=%2FNaturesPlus-Animal-Childrens-Chewable-Multivitamin%2Fdp%2FB00012NGZI%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456070%26sr%3D8-51-spons%26psc%3D1%26smid%3DA32GOXAC8X4KTS
63,"<span class=""a-size-base-plus a-color-base a-text-normal"">Nature's Bounty Disney® Frozen Kids Gummy Multivitamin, Natural Strawberry &amp; Raspberry Flavored, Vitamins A, C, D, E, and Select B Vitamins, 60 Gummies</span>",35,4.6,5.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03344053RTVJOYPFFD0Z&qualifier=1675456070&id=373664317268160&widgetName=sp_atf_next&url=%2FNatures-Bounty-Multivitamin-Strawberry-Raspberry%2Fdp%2FB09SKGJVG2%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456070%26sr%3D8-52-spons%26psc%3D1
64,"<span class=""a-size-base-plus a-color-base a-text-normal"">MegaFood Kids One Daily Multivitamin Soft Chews - Supports Child Development and Growth - Gluten-Free - Vegetarian - Grape - 30 Chews (Pack of 1)</span>",417,4.6,18.99,https://www.amazon.com/MegaFood-Multivitamin-Supplement-Development-Gluten-Free/dp/B07S43J9K3/ref=sr_1_53?keywords=multivitamin+for+kids&qid=1675456070&sr=8-53
65,"<span class=""a-size-base-plus a-color-base a-text-normal"">Culturelle Kids Complete Chewable Multivitamin + Probiotic For Kids, Ages 3+, 50 Count, Digestive Health, Oral Health &amp; Immune Support - With 11 Vitamins &amp; Minerals, including Vitamin C, D3 &amp; Zinc</span>","4,221",4.7,23.53,https://www.amazon.com/Culturelle-Multivitamin-Probiotic-Supplement-probiotic%E2%8C%98/dp/B07N7ZM39Z/ref=sr_1_54?keywords=multivitamin+for+kids&qid=1675456070&sr=8-54
66,"<span class=""a-size-base-plus a-color-base a-text-normal"">Nature’s Way Kids Happy &amp; Healthy Multivitamin, Vitamin C, Zinc &amp; Elderberry, 60 Gummies</span>","2,661",4.2,14.39,https://www.amazon.com/Natures-Way-Healthy-Multivitamin-Elderberry/dp/B089MXBNQB/ref=sr_1_55?keywords=multivitamin+for+kids&qid=1675456070&sr=8-55
67,"<span class=""a-size-base-plus a-color-base a-text-normal"">CHILDLIFE ESSENTIALS, Kids Liquid Multivitamin and Mineral Supplement - Liquid Vitamins for Kids, All-Natural, Gluten-Free, Non-GMO - Natural Orange &amp; Mango Flavor, 8 Ounce Bottle</span>","2,657",4.5,16.29,https://www.amazon.com/CHILDLIFE-ESSENTIALS-Multivitamin-Mineral-Supplement/dp/B00016QUJI/ref=sr_1_56_f3_0o_wf?keywords=multivitamin+for+kids&qid=1675456070&sr=8-56
68,"<span class=""a-size-base-plus a-color-base a-text-normal"">MegaFood Kids One Daily - Children's Multivitamin for Nutritional Support with Vitamin B, C &amp; D - Non-GMO, Gluten-Free, Vegetarian, and Made without Dairy &amp; Soy - 60 Tabs</span>","1,183",4.7,26.99,https://www.amazon.com/MegaFood-Multivitamin-Development-Gluten-Free-Mini-Tablets/dp/B004KU4TMG/ref=sr_1_57?keywords=multivitamin+for+kids&qid=1675456070&sr=8-57
69,"<span class=""a-size-base-plus a-color-base a-text-normal"">Nordic Naturals Nordic Berries, Citrus - 200 Gummy Berries - Great-Tasting Multivitamin for Ages 2+ - Growth, Development, Optimal Wellness - Non-GMO, Vegetarian - 50 Servings</span>","1,921",4.8,33.96,https://www.amazon.com/Nordic-Naturals-Berries-Multivitamin-Treats/dp/B009KTXQW6/ref=sr_1_58?keywords=multivitamin+for+kids&qid=1675456070&sr=8-58
70,"<span class=""a-size-base-plus a-color-base a-text-normal"">NovaFerrum Delish | Vegan Multivitamin with Iron for Infants, Toddlers &amp; Kids | Organic Plant-Based D-3 | Gluten-Free Certified | Vegan Verified | Sugar-Free | Raspberry Grape | 2 Fl Oz (50 mL)</span>","9,111",4.5,22.50,https://www.amazon.com/NovaFerrum-Multivitamin-Infants-Toddlers-Plant-Based/dp/B07Y2DK9BG/ref=sr_1_59?keywords=multivitamin+for+kids&qid=1675456070&sr=8-59
71,"<span class=""a-size-base-plus a-color-base a-text-normal"">Super Mini-Multi - Children's Multivitamin Swallowable Capsules with Methyl Folate, Methyl B12 and Coenzyme B Vitamins for Growth, Focus, Brain Health (120 Capsules)</span>",539,4.6,20.99,https://www.amazon.com/Super-Mini-Multi-Superior-Childrens-Multivitamin/dp/B008RGIYTS/ref=sr_1_60?keywords=multivitamin+for+kids&qid=1675456070&sr=8-60
72,"<span class=""a-size-base-plus a-color-base a-text-normal"">Dr. Mercola Chewable Multivitamin for Kids Dietary Supplement, 30 Servings (60 Tablets), Supports Overall Health, Non GMO, Soy Free, Gluten Free, 0g Sugar</span>",256,4.3,16.97,https://www.amazon.com/Dr-Mercola-Chewable-Multi-Vitamin-Ounce/dp/B073Q51H52/ref=sr_1_61?keywords=multivitamin+for+kids&qid=1675456070&sr=8-61
73,"<span class=""a-size-base-plus a-color-base a-text-normal"">NaturesPlus Animal Parade Children's Chewable Multivitamin - 180 Animal-Shaped Tablets - Natural Assorted Flavors - Vegetarian, Gluten Free - 90 Servings</span>","1,996",4.6,25.99,https://www.amazon.com/NaturesPlus-Animal-Childrens-Chewable-Multivitamin/dp/B00012NGZI/ref=sr_1_62?keywords=multivitamin+for+kids&qid=1675456070&sr=8-62
74,"<span class=""a-size-base-plus a-color-base a-text-normal"">Renzo's Picky Eater Kids Multivitamin - Vegan Multivitamin for Kids with Iron, Vitamin C, and Zero Sugar, Dissolvable and Easy To Take Kids Vitamins, Cherry Flavored Childrens Vitamins [60 Melty Tabs]</span>","4,030",4.3,25.99,https://www.amazon.com/Renzos-Dissolvable-Vitamins-Cherry-Flavor/dp/B06XXQNYXG/ref=sr_1_63?keywords=multivitamin+for+kids&qid=1675456070&sr=8-63
75,"<span class=""a-size-base-plus a-color-base a-text-normal"">NUTRAMIN Sugar-Free, Allergen-Free &amp; Vegan Gummy Multivitamins for Kids - Great Tasting Gummies Your Kids Will Love - 90 Count Bottle by Nutracelle</span>","1,180",4.7,21.99,https://www.amazon.com/NUTRAMIN-Multivitamins-Sugar-Free-Vitamins-Multivitamin/dp/B08769RDTN/ref=sr_1_64?keywords=multivitamin+for+kids&qid=1675456070&sr=8-64
76,"<span class=""a-size-base-plus a-color-base a-text-normal"">Nature's Bounty Disney® Frozen Kids Gummy Multivitamin, Natural Strawberry &amp; Raspberry Flavored, Vitamins A, C, D, E, and Select B Vitamins, 180 Gummies</span>",131,4.7,8.96,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A033508536FK4X7F51Z4N&qualifier=1675456070&id=373664317268160&widgetName=sp_mtf&url=%2FNatures-Bounty-Multivitamin-Strawberry-Raspberry%2Fdp%2FB09SK3PN99%2Fref%3Dsr_1_65_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456070%26sr%3D8-65-spons%26psc%3D1
77,"<span class=""a-size-base-plus a-color-base a-text-normal"">CHILDLIFE ESSENTIALS, Kids Liquid Multivitamin and Mineral Supplement - Liquid Vitamins for Kids, All-Natural, Gluten-Free, Non-GMO - Natural Orange &amp; Mango Flavor, 8 Fl Oz Bottle</span>","2,995",4.6,14.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A03676721KGTMQX5W2XLU&qualifier=1675456070&id=373664317268160&widgetName=sp_mtf&url=%2FChildLife-Essentials-Vitamin-Mineral-Natural%2Fdp%2FB001E123JA%2Fref%3Dsr_1_66_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456070%26sr%3D8-66-spons%26psc%3D1
78,"<span class=""a-size-base-plus a-color-base a-text-normal"">OLLY Kid's Multivitamin + Probiotic Gummy, Vitamins A, C, D, E, B, Zinc, Digestive Support, Chewable Supplement, Berry Flavor, 60 Day Supply - 120 Count Pouch</span>","13,553",4.7,21.59,https://www.amazon.com/gp/bestsellers/hpc/3765511/ref=sr_bs_18_3765511_1
79,"<span class=""a-size-base-plus a-color-base a-text-normal"">Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D &amp; more, 180ct</span>","15,134",4.6,16.70,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A00861213HIWZUWPAC5M9&qualifier=1675456070&id=373664317268160&widgetName=sp_mtf&url=%2FFlintstones-Vitamins-Childrens-Multivitamin-Supplement%2Fdp%2FB0771WL4SD%2Fref%3Dsr_1_68_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456070%26rdc%3D1%26sr%3D8-68-spons%26psc%3D1
80,"<span class=""a-size-base-plus a-color-base a-text-normal"">NATURELO Chewable Vitamin for Kids – Multivitamin with Whole Food Organic Fruit Blend - 60 Tablets for Children</span>","1,444",4.2,24.95,https://www.amazon.com/NATURELO-Chewable-Vitamin-Kids-Multivitamin/dp/B09NL81YTF/ref=sr_1_69?keywords=multivitamin+for+kids&qid=1675456070&sr=8-69
81,"<span class=""a-size-base-plus a-color-base a-text-normal"">Whole Fruit Gummy Vitamins for Kids No Added Sugar, Vegan Kids Multivitamin Gummies, Plant Based Multivitamin for Kids, Whole Foods Toddler Vitamins, Organic Kids Vitamins Chewable 60 Bites, Cherry</span>","2,112",4.3,24.95,https://www.amazon.com/Multivitamin-Organic-Plant-Based-Vitamins-Gummies/dp/B07P7YQTBL/ref=sr_1_70?keywords=multivitamin+for+kids&qid=1675456070&sr=8-70
82,"<span class=""a-size-base-plus a-color-base a-text-normal"">Vital Vits Kids Vitamins for Immune Support - Daily Multivitamin with Burdock Root &amp; Elderberry for Kids Immune Booster - Everyday Essentials Liquid Multivitamin &amp; Daily Greens Immune Support 2oz</span>","2,410",4.5,28.99,https://www.amazon.com/Liquid-Vitamins-Kids-Multivitamins-Childrens/dp/B08DW6D5VR/ref=sr_1_71?keywords=multivitamin+for+kids&qid=1675456070&sr=8-71
83,"<span class=""a-size-base-plus a-color-base a-text-normal"">Garden of Life Multivitamin for Women, Men &amp; Kids Age 6 and up, Vitamin Code Family Multi - 120 Vegetarian Capsules, Whole Food Vitamins, Food Blend &amp; Probiotics, Gluten Free Dietary Supplements</span>",848,4.7,31.49,https://www.amazon.com/Garden-Life-Family-Multivitamin-Supplement/dp/B00280M10C/ref=sr_1_72?keywords=multivitamin+for+kids&qid=1675456070&sr=8-72
84,"<span class=""a-size-base-plus a-color-base a-text-normal"">Bluebonnet Nutrition Rainforest Animalz Whole Food Based Multiple Chewable Tablet, Kids Multivitamin &amp; Mineral, Vitamin C, D3, Iron, Gluten Free, Milk Free, Kosher, 180 Chewable Tablets, Mixed Flavor</span>",472,4.5,31.00,https://www.amazon.com/Super-Earth-Rainforest-Animalz-Multiple/dp/B004WP2MJ6/ref=sr_1_73?keywords=multivitamin+for+kids&qid=1675456070&sr=8-73
85,"<span class=""a-size-base-plus a-color-base a-text-normal"">Kids Multivitamin Gummies with Probiotics | 60 Count | Vegetarian, Non-GMO, Gluten Free Supplement | Vitamin C, D3 &amp; Zinc | Berry Punch Flavor | by Nature's Truth</span>",114,4.7,12.79,https://www.amazon.com/Multivitamin-Probiotics-Vegetarian-Natures-Truth/dp/B08PW67DRS/ref=sr_1_74?keywords=multivitamin+for+kids&qid=1675456070&sr=8-74
86,"<span class=""a-size-base-plus a-color-base a-text-normal"">Nordic Naturals Nordic Berries, Cherry Berry - 120 Gummy Berries - Great-Tasting Multivitamin for Ages 2+ - Growth, Development, Optimal Wellness - Non-GMO, Vegetarian - 30 Servings</span>",478,4.5,22.91,https://www.amazon.com/Nordic-Naturals-Berries-Multivitamin-Gummies/dp/B01LTHMG3Q/ref=sr_1_75?keywords=multivitamin+for+kids&qid=1675456070&sr=8-75
87,"<span class=""a-size-base-plus a-color-base a-text-normal"">Nature’s Bounty Marvel’s Spider-Man Kids Multi Vitamin Gummy, Natural Strawberry and Raspberry Flavored Multi Vitamin, 180 Gummies</span>",121,4.7,13.71,https://www.amazon.com/Natures-Bounty-Spider-Man-Strawberry-Raspberry/dp/B09SKN28W2/ref=sr_1_76?keywords=multivitamin+for+kids&qid=1675456070&sr=8-76
88,"<span class=""a-size-base-plus a-color-base a-text-normal"">Kids Complete Daily Multivitamin Gummies Great for Immune Support and Overall Health - 12 Essential Minerals and Vitamins - Gluten Free GMO Free Gelatin Free Peanut Free - Chewable Fruity Gummy Chews</span>",124,4.6,6.99,https://www.amazon.com/Complete-Multivitamin-Gummies-Support-Overall/dp/B09VMBF1TC/ref=sr_1_77?keywords=multivitamin+for+kids&qid=1675456070&sr=8-77
89,"<span class=""a-size-base-plus a-color-base a-text-normal"">NovaFerrum MMM | Multivitamin for Infants, Toddlers &amp; Kids | Vitamin C, D3, E | Gluten Free Certified | Sugar Free | Ages 4 &amp; Under | Orange Flavored | 2 Fl Oz (50 mL)</span>",793,4.6,17.99,https://www.amazon.com/NovaFerrum-Multivitamin-Sweeteners-Sugar-Free-Gluten-Free/dp/B01BAC1HMQ/ref=sr_1_78?keywords=multivitamin+for+kids&qid=1675456070&sr=8-78
90,"<span class=""a-size-base-plus a-color-base a-text-normal"">Flintstones Children's Complete Multivitamin Gummies, 70 Count</span>",752,4.8,7.69,https://www.amazon.com/Flintstones-Childrens-Multivitamins-Supplement-Vitamins/dp/B00BV47LPG/ref=sr_1_79_f3_0o_fs?keywords=multivitamin+for+kids&qid=1675456070&sr=8-79
91,"<span class=""a-size-base-plus a-color-base a-text-normal"">L'il Critters Gummy Vites Children's Chewable Gummy Bear Multivitamin Dietary Supplement, 275 Count</span>",199,4.7,23.09,https://www.amazon.com/Lil-Critters-Gummy-Vites-Multivitamin/dp/B01HLYUPNE/ref=sr_1_80?keywords=multivitamin+for+kids&qid=1675456070&sr=8-80
92,"<span class=""a-size-base-plus a-color-base a-text-normal"">N1N Premium Super Fruits &amp; Veggies Supplement [180 Caps, Whole Food &amp; All Natural] Superfoods for Women, Men and Kids - Packed with Vitamins &amp; Minerals, Better Than Multivitamins, 100% Vegan, Non-GMO</span>",19,3.6,39.97,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A088436129VEKJMA2HSGU&qualifier=1675456070&id=373664317268160&widgetName=sp_mtf&url=%2FPremium-Veggies-Supplement-Natural-Superfoods%2Fdp%2FB0BPH868DX%2Fref%3Dsr_1_81_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456070%26sr%3D8-81-spons%26psc%3D1
93,"<span class=""a-size-base-plus a-color-base a-text-normal"">Pure Encapsulations Junior Nutrients | Multivitamin and Mineral Supplement Without Iron for Children Ages 4 and Up* | 120 Capsules</span>",542,4.6,26.60,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A05796262EM3IV8WKJIB6&qualifier=1675456070&id=373664317268160&widgetName=sp_mtf&url=%2FPure-Encapsulations-Nutrients-Hypoallergenic-Multivitamin%2Fdp%2FB004GY94BW%2Fref%3Dsr_1_82_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456070%26sr%3D8-82-spons%26psc%3D1%26smid%3DA2EJCTH67GJMT3
94,"<span class=""a-size-base-plus a-color-base a-text-normal"">Nature’s Bounty Star Wars™ Kids Gummy Multivitamin, Natural Strawberry &amp; Raspberry Flavored, Non-GMO, 60 Gummies</span>",32,4.5,5.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0334561315X5PM9XEN1L&qualifier=1675456070&id=373664317268160&widgetName=sp_mtf&url=%2FNatures-Bounty-Multivitamin-Strawberry-Raspberry%2Fdp%2FB09SKGMHH6%2Fref%3Dsr_1_83_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456070%26sr%3D8-83-spons%26psc%3D1
95,"<span class=""a-size-base-plus a-color-base a-text-normal"">Premium Liquid Multivitamin For Kids | Sugar Free Kids Vitamins | 100% DV of 14 Vitamins for Kids | Multivitamin for Children Ages 4+ | Great Tasting, Non-GMO, Max 98% Absorption Rate- 16 oz, 32 Serv</span>","3,658",4.5,27.95,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A02895541WFHK9GW7ET88&qualifier=1675456070&id=373664317268160&widgetName=sp_mtf&url=%2FMultivitamin-Superfood-Vitamins-Multi-Vitamin-Children%2Fdp%2FB01ATYIEV8%2Fref%3Dsr_1_84_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456070%26sr%3D8-84-spons%26psc%3D1%26smid%3DA1FGZPZGA6G2M5
96,"<span class=""a-size-base-plus a-color-base a-text-normal"">Pure Encapsulations Junior Nutrients | Multivitamin and Mineral Supplement Without Iron for Children Ages 4 and Up* | 120 Capsules</span>",542,4.6,26.60,https://www.amazon.com/Pure-Encapsulations-Nutrients-Hypoallergenic-Multivitamin/dp/B004GY94BW/ref=sr_1_85?keywords=multivitamin+for+kids&qid=1675456070&sr=8-85
97,"<span class=""a-size-base-plus a-color-base a-text-normal"">Chapter One Multivitamin Gummies, Multi for Kids with Vitamin C, Vitamin D3, Zinc and More, Kosher, 60 Flavored Gummies</span>","1,135",4.7,14.95,https://www.amazon.com/Chapter-Multivitamin-Gummies-Certified-Flavored/dp/B07M6HVVDX/ref=sr_1_86?keywords=multivitamin+for+kids&qid=1675456070&sr=8-86
98,"<span class=""a-size-base-plus a-color-base a-text-normal"">Focus Factor Kids Extra Strength Daily Chewable for Brain Health Support, 120 Count – Vitamins - Quality Formula – Gluten &amp; Dairy Free Supplements for Children – No Artificial Sweetener</span>","7,920",4.2,29.57,https://www.amazon.com/Focus-Factor-Strength-Complete-Vitamins/dp/B074WZLRKZ/ref=sr_1_87?keywords=multivitamin+for+kids&qid=1675456070&sr=8-87
99,"<span class=""a-size-base-plus a-color-base a-text-normal"">Total Nutra 6-in-1 Liquid Multivitamin Supplement | 100% Daily Zinc, Vitamin D3 and Vitamin C Immunity Drops | Elderberry, Echinacea &amp; Ginger Defense Support for Adults &amp; Kids | 4 oz Passion Fruit</span>","1,189",4.3,18.99,https://www.amazon.com/Total-Nutra-Multivitamin-Supplement-Elderberry/dp/B08TJ72G4B/ref=sr_1_88?keywords=multivitamin+for+kids&qid=1675456070&sr=8-88
100,"<span class=""a-size-base-plus a-color-base a-text-normal"">Daily Bird Kids Liquid Multivitamin, Methylfolate (Folic Acid), Methylcobalamin, Prebiotics, Natural Whole Food Blend Vitamins, Tropical, 16 oz. Includes Bonus Immune Boosting Tips, value $29.95</span>",306,4.5,40.00,https://www.amazon.com/Best-Nest-L-Methylfolate-Methylcobalamin-Wellness/dp/B072J513XH/ref=sr_1_89?keywords=multivitamin+for+kids&qid=1675456070&sr=8-89
101,"<span class=""a-size-base-plus a-color-base a-text-normal"">OLLY Teen Girl Multi Gummy, Healthy Skin and Immune Support, 15 Essential Vitamins, Biotin, Zinc, Calcium, Chewable Multivitamin, Berry Melon, 35 Day Supply - 70 Count</span>","3,280",4.5,12.88,https://www.amazon.com/Multivitamin-Vitamins-Antioxidants-Chewable-Supplement/dp/B0767R6LVR/ref=sr_1_90?keywords=multivitamin+for+kids&qid=1675456070&sr=8-90
